asin,brand,name,priceJpy,imageUrl,category,concerns
B0C4LK65MV,BaoCheng,"【Amazon.co.jp限定】BaoCheng 犬ハーネス 犬用胴輪 小型犬/中型犬/大型犬ハーネス 犬用胴輪 引っ張り防止 アタマを通さず 咳き込み軽減 サイズ調整可能 夜間反射材 抜けない 通気性 簡単着脱 おしゃれ 安全 しつけ用 訓練 歩行補助 散歩 可愛い(ベージュチェック柄,S)",1839,"https://images-fe.ssl-images-amazon.com/images/I/71HWtmOc-dL._AC_UL600_SR600,400_.jpg",harness,hot-summer|small-dog|large-dog|medium-dog|pulling-training|night-walk|trachea-care
B0BMTPQ9PN,BELLA,"BELLA & PAL 犬用 ハーネス リード セット 小型犬 超小型犬 猫用ハーネス 胴輪 引っ張り防止 サイズ調整可能 夜間反射 脱着簡単 耐久性 通気性 ソフト メッシュ (カーキ, S)",1899,"https://images-fe.ssl-images-amazon.com/images/I/71YhjFmcLgL._AC_UL600_SR600,400_.jpg",harness,hot-summer|small-dog|pulling-training|night-walk
B0CZLPPQ88,PUKAKO,"PUKAKO 犬 ハーネス 猫 リードセット 胴輪 小型犬 犬用ハーネス 猫用 服 メッシュ素材 身体に優しい 反射材付き 調節可能 お散歩 着脱簡単 引っ張り防止 人気 おしゃれ 可愛い（カーキ, S)",1899,"https://images-fe.ssl-images-amazon.com/images/I/81LcY2MKDEL._AC_UL600_SR600,400_.jpg",harness,small-dog|pulling-training|night-walk
B00A9XBLSI,"IDCパワーハーネス,","IDCパワーハーネス, サイズ: S/ミニ, カモフラージュ",4950,"https://images-fe.ssl-images-amazon.com/images/I/71TTDwdFANL._AC_UL600_SR600,400_.jpg",harness,
B0DJ7RB15H,BowNya,"【獣医師推奨】BowNya Cauda, 犬 ハーネス 気管虚脱 アクティブハーネス 簡単装着 5ヶ所調整可能 ベージュ Sサイズ",1930,"https://images-fe.ssl-images-amazon.com/images/I/71lZSMnStxL._AC_UL600_SR600,400_.jpg",harness,trachea-care
B01M9JKBMB,Rabbitgoo,Rabbitgoo 犬 ハーネス 小型犬 ソフト かわいい 犬用胴輪 引っ張り防止 負担が少ない首輪 サイズ調整可 夜間反射 抜けない 通気性 咳き込み防止 散歩 歩行補助 老犬介護 しつけ 運動向き 犬 中型犬 大型犬 柴犬 秋田犬 (オレンジ S),2099,"https://images-fe.ssl-images-amazon.com/images/I/819pQSsQPTL._AC_UL600_SR600,400_.jpg",harness,hot-summer|small-dog|large-dog|medium-dog|senior|pulling-training|night-walk|trachea-care
B0G1TM7K2W,BowNya,"【獣医師推奨】BowNya Cauda, 犬 ハーネス 首に優しい レザーハンドル 気管虚脱 金属バックル 小型 中型 大型犬 心地 – KOKOCHI Harness ワインレッド Mサイズ",,"https://images-fe.ssl-images-amazon.com/images/I/71ulGPkAqgL._AC_UL600_SR600,400_.jpg",harness,large-dog|trachea-care
B0DCTN7ZGS,Lil&Fam,"Lil&Fam 犬 ハーネス 胴輪 リードセット 身体に優しい 反射材付き メッシュ 小型犬 中型犬 猫 (ベージュ×グレー, Sサイズ)",1780,"https://images-fe.ssl-images-amazon.com/images/I/81mrzLDRzlL._AC_UL600_SR600,400_.jpg",harness,small-dog|medium-dog|night-walk
B09BC4DK4X,犬,"犬 ハーネス かわいい おしゃれ 胴輪 散歩 小型犬 中型犬 大型犬 猫 首輪 ソフト ナイロン製 夜間反射 PetGround (S, レッド)",998,"https://images-fe.ssl-images-amazon.com/images/I/61WSQdjZ7fL._AC_UL600_SR600,400_.jpg",harness,small-dog|large-dog|medium-dog|night-walk
B0928QZ9QC,cocomall,"cocomall 喉に優しい犬用ハーネス 犬用胴輪 TRUE LOVE日本授権店 ドッグ ペット用品 お出かけハーネス 3M反射材料 訓練用 ナイロン製 小型犬、中型犬、大型犬に向け 通気性 調節可能 おしゃれ 夏に対応 (XXS, ロイヤルブルー)",2699,"https://images-fe.ssl-images-amazon.com/images/I/61MxDm9GpwL._AC_UL600_SR600,400_.jpg",harness,hot-summer|small-dog|large-dog|medium-dog|night-walk|trachea-care
